"coverage","METRIC.F1_Score","caller"
13.427577,0.983482,"GATK-3.5.0"
13.427577,0.989945,"GATK-4.1.0.0"
13.466286,0.99352,"DV-0.10.0"
13.466286,0.981472,"GATK-3.5.0"
13.466286,0.988635,"GATK-4.1.0.0"
13.583301,0.995031,"DV-0.10.0"
13.583301,0.984137,"GATK-3.5.0"
13.583301,0.990763,"GATK-4.1.0.0"
13.609833,0.994311,"DV-0.10.0"
13.609833,0.983136,"GATK-3.5.0"
13.609833,0.989947,"GATK-4.1.0.0"
13.689238,0.994739,"DV-0.10.0"
13.689238,0.983896,"GATK-3.5.0"
13.689238,0.9905,"GATK-4.1.0.0"
13.718417,0.994269,"DV-0.10.0"
13.718417,0.983132,"GATK-3.5.0"
13.718417,0.990049,"GATK-4.1.0.0"
13.72388,0.994922,"DV-0.10.0"
13.72388,0.984758,"GATK-3.5.0"
13.72388,0.990965,"GATK-4.1.0.0"
13.754726,0.994261,"DV-0.10.0"
13.754726,0.983047,"GATK-3.5.0"
13.754726,0.989928,"GATK-4.1.0.0"
13.794857,0.994386,"DV-0.10.0"
13.794857,0.983688,"GATK-3.5.0"
13.794857,0.99026,"GATK-4.1.0.0"
13.833633,0.994421,"DV-0.10.0"
13.833633,0.984377,"GATK-3.5.0"
13.833633,0.99033,"GATK-4.1.0.0"
13.852781,0.996504,"DV-0.10.0"
13.852781,0.986172,"GATK-3.5.0"
13.852781,0.992271,"GATK-4.1.0.0"
13.869678,0.995633,"DV-0.10.0"
13.869678,0.984822,"GATK-3.5.0"
13.869678,0.991132,"GATK-4.1.0.0"
13.891787,0.995007,"DV-0.10.0"
13.891787,0.984318,"GATK-3.5.0"
13.891787,0.990765,"GATK-4.1.0.0"
13.918251,0.994427,"DV-0.10.0"
13.918251,0.984244,"GATK-3.5.0"
13.918251,0.990629,"GATK-4.1.0.0"
13.946728,0.994462,"DV-0.10.0"
13.946728,0.984642,"GATK-3.5.0"
13.946728,0.990554,"GATK-4.1.0.0"
13.98001,0.995792,"DV-0.10.0"
13.98001,0.98503,"GATK-3.5.0"
13.98001,0.991418,"GATK-4.1.0.0"
14.001265,0.994156,"DV-0.10.0"
14.001265,0.984484,"GATK-3.5.0"
