"method","panel","variant","nsnp","af","r2"
"minimac4","CAAPA","SNP",2215253,0.00729644,0.411698
"minimac4","CAAPA","SNP",2490971,0.0144597,0.479563
"minimac4","CAAPA","SNP",3144499,0.0324834,0.57266
"minimac4","CAAPA","SNP",2078113,0.0716845,0.649831
"minimac4","CAAPA","SNP",1812824,0.143341,0.72098
"minimac4","CAAPA","SNP",2042189,0.323161,0.763409
"minimac4","CAAPA","SNP",1600945,0.732562,0.687876
"minimac4","CAAPA","INDEL",83545,4.82574e-05,NA
"minimac4","CAAPA","INDEL",33739,0.000150855,NA
"minimac4","CAAPA","INDEL",61023,0.000339175,NA
"minimac4","CAAPA","INDEL",66959,0.000738844,NA
"minimac4","CAAPA","INDEL",97268,0.00147662,NA
"minimac4","CAAPA","INDEL",192271,0.00337809,NA
"minimac4","CAAPA","INDEL",199051,0.00730709,NA
"minimac4","CAAPA","INDEL",228276,0.014462,NA
"minimac4","CAAPA","INDEL",292192,0.0324898,NA
"minimac4","CAAPA","INDEL",194062,0.0716663,NA
"minimac4","CAAPA","INDEL",168150,0.14319,NA
"minimac4","CAAPA","INDEL",184946,0.321858,NA
"minimac4","CAAPA","INDEL",133479,0.72557,NA
