"coverage","id","METRIC.F1_Score","caller","TRUTH.TP","TRUTH.TOTAL","QUERY.FP","TRUTH.FN","FP.gt","FP.al","caller.1","Type"
10.155668,106,1,"DV-0.10.0",9,9,0,0,0,0,"DV-0.10.0","INDEL"
10.155668,106,0.982177,"DV-0.10.0",184825,190103,1430,5278,1333,0,"DV-0.10.0","SNP"
10.155668,106,1,"GATK-3.5.0",9,9,0,0,0,0,"GATK-3.5.0","INDEL"
10.155668,106,0.949001,"GATK-3.5.0",173158,190103,1666,16945,1632,0,"GATK-3.5.0","SNP"
10.155668,106,1,"GATK-4.1.0.0",9,9,0,0,0,0,"GATK-4.1.0.0","INDEL"
10.155668,106,0.970366,"GATK-4.1.0.0",180751,190103,1688,9352,1644,0,"GATK-4.1.0.0","SNP"
10.16764,12,1,"DV-0.10.0",7,7,0,0,0,0,"DV-0.10.0","INDEL"
10.16764,12,0.978717,"DV-0.10.0",183578,189496,2066,5918,1891,0,"DV-0.10.0","SNP"
10.16764,12,1,"GATK-3.5.0",7,7,0,0,0,0,"GATK-3.5.0","INDEL"
10.16764,12,0.945667,"GATK-3.5.0",172067,189496,2343,17429,2309,0,"GATK-3.5.0","SNP"
10.16764,12,1,"GATK-4.1.0.0",7,7,0,0,0,0,"GATK-4.1.0.0","INDEL"
10.16764,12,0.967133,"GATK-4.1.0.0",179661,189496,2376,9835,2316,0,"GATK-4.1.0.0","SNP"
10.466721,17,1,"DV-0.10.0",11,11,0,0,0,0,"DV-0.10.0","INDEL"
10.466721,17,0.987432,"DV-0.10.0",181841,185532,938,3691,884,0,"DV-0.10.0","SNP"
10.466721,17,1,"GATK-3.5.0",11,11,0,0,0,0,"GATK-3.5.0","INDEL"
10.466721,17,0.960509,"GATK-3.5.0",172541,185532,1197,12991,1163,0,"GATK-3.5.0","SNP"
10.466721,17,1,"GATK-4.1.0.0",11,11,0,0,0,0,"GATK-4.1.0.0","INDEL"
10.466721,17,0.977414,"GATK-4.1.0.0",178486,185532,1203,7046,1165,0,"GATK-4.1.0.0","SNP"
10.484632,56,1,"DV-0.10.0",7,7,0,0,0,0,"DV-0.10.0","INDEL"
10.484632,56,0.985903,"DV-0.10.0",185721,190016,1016,4295,965,0,"DV-0.10.0","SNP"
10.484632,56,1,"GATK-3.5.0",7,7,0,0,0,0,"GATK-3.5.0","INDEL"
10.484632,56,0.956575,"GATK-3.5.0",175333,190016,1236,14683,1209,0,"GATK-3.5.0","SNP"
10.484632,56,1,"GATK-4.1.0.0",7,7,0,0,0,0,"GATK-4.1.0.0","INDEL"
10.484632,56,0.975326,"GATK-4.1.0.0",182052,190016,1247,7964,1217,0,"GATK-4.1.0.0","SNP"
10.61494,26,1,"DV-0.10.0",10,10,0,0,0,0,"DV-0.10.0","INDEL"
10.61494,26,0.985124,"DV-0.10.0",184792,189123,1250,4331,1180,0,"DV-0.10.0","SNP"
10.61494,26,1,"GATK-3.5.0",10,10,0,0,0,0,"GATK-3.5.0","INDEL"
10.61494,26,0.958878,"GATK-3.5.0",175492,189123,1421,13631,1390,0,"GATK-3.5.0","SNP"
10.61494,26,1,"GATK-4.1.0.0",10,10,0,0,0,0,"GATK-4.1.0.0","INDEL"
10.61494,26,0.976058,"GATK-4.1.0.0",181642,189123,1430,7481,1391,0,"GATK-4.1.0.0","SNP"
10.845642,234,1,"DV-0.10.0",8,8,0,0,0,0,"DV-0.10.0","INDEL"
10.845642,234,0.986744,"DV-0.10.0",183973,187718,1198,3745,1098,0,"DV-0.10.0","SNP"
10.845642,234,0.933333,"GATK-3.5.0",7,8,0,1,0,0,"GATK-3.5.0","INDEL"
10.845642,234,0.964282,"GATK-3.5.0",175979,187718,1298,11739,1261,0,"GATK-3.5.0","SNP"
10.845642,234,1,"GATK-4.1.0.0",8,8,0,0,0,0,"GATK-4.1.0.0","INDEL"
10.845642,234,0.979132,"GATK-4.1.0.0",181301,187718,1311,6417,1266,0,"GATK-4.1.0.0","SNP"
10.870355,178,1,"DV-0.10.0",11,11,0,0,0,0,"DV-0.10.0","INDEL"
