variant,ngenotype,af,r2,truth,phaser,refinement,caller
SNP,74694,0.0324702,0.91819,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,49327,0.0719107,0.936115,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,42353,0.143454,0.946245,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,49353,0.323146,0.939804,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,37203,0.731032,0.811844,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,4144,0.000615946,0.134276,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,4903,0.00149436,0.331922,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,8855,0.00335889,0.539386,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,8182,0.00722006,0.681428,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,7999,0.0144236,0.764166,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,10583,0.032701,0.842781,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,7369,0.07223,0.870724,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,6637,0.144027,0.881977,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,7649,0.320946,0.900744,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,4523,0.721766,0.627615,DV-0.10.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,31790,0.000664328,0.478122,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,45449,0.00149124,0.657844,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,72260,0.00335384,0.78099,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,64097,0.00712918,0.851088,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,61685,0.0143208,0.909092,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,74694,0.0324702,0.951589,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,49327,0.0719107,0.968371,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,42353,0.143454,0.978492,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,49353,0.323146,0.985647,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,37203,0.731032,0.987772,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,4144,0.000615946,0.314966,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,4903,0.00149436,0.565206,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,8855,0.00335889,0.662095,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,8182,0.00722006,0.757813,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,7999,0.0144236,0.831402,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,10583,0.032701,0.888953,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,7369,0.07223,0.911511,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,6637,0.144027,0.921722,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,7649,0.320946,0.936568,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
INDEL,4523,0.721766,0.949373,DV-0.10.0,Eagle-2.4.1,no genotype refinement,DV-0.10.0
SNP,31790,0.000664328,0.480647,DV-0.10.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
SNP,45449,0.00149124,0.618364,DV-0.10.0,SHAPEIT-4.1.3,with genotype refinement,GATK-3.5.0
